Country,Year,Income,Terrorist,Net_Mig,Score_change,Region,Score_change_rank,HDI
West Bank and Gaza,2018,2,118,-14.13,-2.34,Middle East & North Africa,2,0.708
Yemen. Rep.,2018,1,497,-4.38,2.78,Middle East & North Africa,3,0.468
Zambia,2018,2,0,23.66,3.54,Sub-Saharan Africa ,3,0.582
Zimbabwe,2018,1,2,-9.03,-10,Sub-Saharan Africa ,1,0.569
Afghanistan,2019,1,1804,23.01,7.16,South Asia,4,0.511
Albania,2019,3,1,-16.58,-11.53,Europe & Central Asia,1,0.795
Algeria,2019,3,0,-23.47,-0.470000000000006,Middle East & North Africa,3,0.748
Angola,2019,2,1,19.07,14.45,Sub-Saharan Africa ,4,0.581
Argentina,2019,4,1,-8.77,-23.49,Latin America & Caribbean ,1,0.845
Armenia,2019,3,0,-12.46,5.6,Europe & Central Asia,4,0.776
Australia,2019,4,2,42.52,-1.88000000000001,East Asia & Pacific,3,0.944
Austria,2019,4,0,26.61,5.17,Europe & Central Asia,4,0.922
Azerbaijan,2019,3,0,-10.29,11.71,Europe & Central Asia,4,0.756
Bahrain,2019,4,0,18.38,-19.59,Middle East & North Africa,1,0.852
Bangladesh,2019,2,32,-11.75,3.67,South Asia,3,0.632
Belgium,2019,4,1,12.56,1.58,Europe & Central Asia,3,0.931
Benin,2019,1,1,-38.71,-19.9,Sub-Saharan Africa ,1,0.545
Bolivia,2019,2,1,-6.31,-2.46,Latin America & Caribbean ,2,0.718
Bosnia and Herzegovina,2019,3,0,-38.06,-3.76999999999999,Europe & Central Asia,2,0.78
Brazil,2019,3,3,-12.42,-1.03,Latin America & Caribbean ,3,0.765
Bulgaria,2019,3,0,-10.16,-1.32,Europe & Central Asia,3,0.816
Burkina Faso,2019,1,160,-7.3,-6.6,Sub-Saharan Africa ,2,0.452
Cambodia,2019,2,0,6.23,2.3,East Asia & Pacific,3,0.594
Cameroon,2019,2,146,-35.79,-2.76,Sub-Saharan Africa ,2,0.563
Canada,2019,4,5,57.79,7.52999999999999,North America,4,0.929
Chile,2019,4,27,23.86,-3.95,Latin America & Caribbean ,2,0.851
China,2019,3,13,-2,-0.84,East Asia & Pacific,3,0.761
Colombia,2019,3,228,-3.88,-6.05,Latin America & Caribbean ,2,0.767
Congo. Dem. Rep.,2019,1,250,16.53,1.54,Sub-Saharan Africa ,3,0.48
Costa Rica,2019,3,2,-1.4,-3.88,Latin America & Caribbean ,2,0.81
Cote d'Ivoire,2019,2,1,-18.04,-10.01,Sub-Saharan Africa ,1,0.538
Cyprus,2019,4,0,47.31,-17.7,Europe & Central Asia,1,0.887
Czech Republic,2019,4,0,7.26,-5.75,Europe & Central Asia,2,0.9
Denmark,2019,4,2,12.21,-0.770000000000003,Europe & Central Asia,3,0.94
Dominican Republic,2019,3,0,-13.87,-4.48,Latin America & Caribbean ,2,0.756
Ecuador,2019,3,3,1.54,-5.2,Latin America & Caribbean ,2,0.759
Egypt. Arab Rep.,2019,2,63,-12.01,5.1,Middle East & North Africa,4,0.707
Estonia,2019,4,0,17.77,5.72,Europe & Central Asia,4,0.892
Ethiopia,2019,1,26,-2.56,1.92,Sub-Saharan Africa ,3,0.485
Finland,2019,4,3,11.2,10.64,Europe & Central Asia,4,0.938
France,2019,4,20,9.40999999999999,-0.490000000000006,Europe & Central Asia,3,0.901
Gabon,2019,3,1,33.28,23.35,Sub-Saharan Africa ,4,0.703
Georgia,2019,2,0,76.82,44.66,Europe & Central Asia,4,0.812
Germany,2019,4,16,44.33,-2.85000000000003,Europe & Central Asia,2,0.947
Ghana,2019,2,3,-13.18,-4.49,Sub-Saharan Africa ,2,0.611
Greece,2019,4,32,-23.62,11.38,Europe & Central Asia,4,0.888
Guatemala,2019,3,0,-5.14,-2.47,Latin America & Caribbean ,2,0.663
Haiti,2019,1,4,-27.6,-0.140000000000001,Latin America & Caribbean ,3,0.51
Honduras,2019,2,5,-7.52,-4.2,Latin America & Caribbean ,2,0.634
Hungary,2019,4,1,-15.28,-2.76000000000001,Europe & Central Asia,2,0.854
India,2019,2,623,-30.35,-4.35,South Asia,2,0.645
Indonesia,2019,2,26,2.44,-0.3,East Asia & Pacific,3,0.718
Iran. Islamic Rep.,2019,3,8,-31.73,-12.48,Middle East & North Africa,1,0.783
Iraq,2019,3,642,9.86,10.56,Middle East & North Africa,4,0.674
Ireland,2019,4,12,56.89,12.1600000000001,Europe & Central Asia,4,0.955
Israel,2019,4,65,1.04,2.71,Middle East & North Africa,3,0.919
Italy,2019,4,8,-5.66,1.39,Europe & Central Asia,3,0.892
Jamaica,2019,3,0,-35.33,-0.769999999999996,Latin America & Caribbean ,3,0.734
Japan,2019,4,2,24.7,3.71000000000001,East Asia & Pacific,3,0.919
Jordan,2019,3,4,-29.81,-13.95,Middle East & North Africa,1,0.729
Kazakhstan,2019,3,1,-6.83,1.6,Europe & Central Asia,3,0.825
Kenya,2019,2,49,9.68,-2.61,Sub-Saharan Africa ,2,0.601
Korea. Rep.,2019,4,1,3.75,-0.18,East Asia & Pacific,3,0.916
Kuwait,2019,4,0,50.24,-6.67,Middle East & North Africa,2,0.806
Latvia,2019,4,0,-8.9,9.57,Europe & Central Asia,4,0.866
Lebanon,2019,3,7,-56.21,-21.61,Middle East & North Africa,1,0.744
Libya,2019,3,70,10.94,10.49,Middle East & North Africa,4,0.724
Lithuania,2019,4,1,7.16,23.28,Europe & Central Asia,4,0.882
Macedonia. FYR,2019,3,0,-24.03,-3.55,Europe & Central Asia,2,0.774
Madagascar,2019,1,0,-18.16,0.739999999999998,Sub-Saharan Africa ,3,0.528
Malawi,2019,1,5,9.49,-1.73,Sub-Saharan Africa ,3,0.483
Malaysia,2019,3,2,-8.95,-2.11,East Asia & Pacific,2,0.81
Mali,2019,1,137,1.64,-0.58,Sub-Saharan Africa ,3,0.434
Malta,2019,4,0,25.51,-25.35,Middle East & North Africa,1,0.895
Mexico,2019,3,31,-4.59,-3.23,Latin America & Caribbean ,2,0.779
Moldova,2019,2,0,-43.58,6.84,Europe & Central Asia,4,0.75
Morocco,2019,2,0,-47.74,-6.57999999999998,Middle East & North Africa,2,0.686
Mozambique,2019,1,133,7.95,4.12,Sub-Saharan Africa ,4,0.456
Myanmar,2019,2,90,21.32,-3.73,East Asia & Pacific,2,0.583
Nepal,2019,1,200,-29.97,-0.459999999999994,South Asia,3,0.602
Netherlands,2019,4,4,20.72,2.34,Europe & Central Asia,3,0.944
New Zealand,2019,4,2,35.83,-2.48999999999999,East Asia & Pacific,2,0.931
Nicaragua,2019,2,3,-30.28,-3.95,Latin America & Caribbean ,2,0.66
Nigeria,2019,2,507,-26.85,-12.46,Sub-Saharan Africa ,1,0.539
Norway,2019,4,3,10.26,7.89,Europe & Central Asia,4,0.957
Pakistan,2019,2,362,-23.21,-2.44,South Asia,2,0.557
Panama,2019,4,0,2.21,9.03999999999999,Latin America & Caribbean ,4,0.815
Papua New Guinea,2019,2,0,20.52,5.06,East Asia & Pacific,4,0.555
Paraguay,2019,3,0,-3.65,7.41,Latin America & Caribbean ,4,0.728
Peru,2019,3,1,-1.59,-10.43,Latin America & Caribbean ,1,0.777
Philippines,2019,2,466,-19.46,-2.03,East Asia & Pacific,2,0.718
Poland,2019,4,0,1.47,-3.37,Europe & Central Asia,2,0.88
Qatar,2019,4,0,68.27,18.94,Middle East & North Africa,4,0.848
Rwanda,2019,1,3,6.87,7.76,Sub-Saharan Africa ,4,0.543
Saudi Arabia,2019,4,42,3.7,12.99,Middle East & North Africa,4,0.854
Senegal,2019,1,1,-8.54,10.13,Sub-Saharan Africa ,4,0.512
Serbia,2019,3,0,-30.06,1.80000000000001,Europe & Central Asia,3,0.806
Slovak Republic,2019,4,0,-3.78,-0.890000000000003,Europe & Central Asia,3,0.86
South Africa,2019,3,23,-13.49,-9.08,Sub-Saharan Africa ,2,0.709
Spain,2019,4,4,23.43,1.87,Europe & Central Asia,3,0.904
Sri Lanka,2019,2,15,-31.16,-5.68,South Asia,2,0.782
Sudan,2019,2,26,-3.18,8.26,Sub-Saharan Africa ,4,0.51
Sweden,2019,4,2,28.47,-3.01000000000001,Europe & Central Asia,2,0.945
Switzerland,2019,4,1,56.35,-3.92000000000003,Europe & Central Asia,2,0.955
Syrian Arab Republic,2019,1,292,-19.73,4.42,Middle East & North Africa,4,0.567
Taiwan. China,2019,4,1,-19.86,6.25,East Asia & Pacific,4,0.911
Tanzania,2019,1,1,-0.84,-0.49,Sub-Saharan Africa ,3,0.529
Thailand,2019,3,130,-3.8,-5.2,East Asia & Pacific,2,0.777
Trinidad and Tobago,2019,4,1,-13.81,0.42,Latin America & Caribbean ,3,0.796
Tunisia,2019,2,16,-77.32,3.18000000000002,Middle East & North Africa,3,0.74
Turkey,2019,3,70,-19.01,0.639999999999993,Europe & Central Asia,3,0.82
Uganda,2019,1,4,0.78,0.160000000000001,Sub-Saharan Africa ,3,0.544
Ukraine,2019,2,31,-25.92,7.94,Europe & Central Asia,4,0.779
United Kingdom,2019,4,86,13.72,9.79,Europe & Central Asia,4,0.932
United States,2019,4,68,2.5,2.07,North America,3,0.926
Uruguay,2019,4,0,-4.57,7.48,Latin America & Caribbean ,4,0.817
Uzbekistan,2019,2,0,1.59,-1.14,Europe & Central Asia,3,0.72
Venezuela. RB,2019,3,9,-132.16,49.82,Latin America & Caribbean ,4,0.711
Vietnam,2019,2,0,-7.94,1.14,East Asia & Pacific,3,0.704
West Bank and Gaza,2019,2,97,-15.59,-1.46,Middle East & North Africa,3,0.708
Yemen. Rep.,2019,1,772,2.89,7.27,Middle East & North Africa,4,0.47
Zambia,2019,2,0,27.05,3.39,Sub-Saharan Africa ,3,0.584
Zimbabwe,2019,1,2,-23.98,-14.95,Sub-Saharan Africa ,1,0.571
